SectionID,SlotIndex,SubjectIdx,TeacherIdx
SEC70,35,0,7
SEC70,36,0,7
SEC70,37,0,7
SEC70,38,0,7
SEC70,39,0,7
SEC70,40,0,7
SEC70,41,0,7
SEC70,42,0,7
SEC70,43,0,7
SEC70,44,0,7
SEC70,45,0,7
SEC70,46,0,7
SEC70,47,0,7
SEC70,48,0,7
SEC70,49,0,7
SEC71,0,3,8
SEC71,1,7,8
SEC71,2,9,8
SEC71,3,9,8
SEC71,4,9,8
SEC71,5,9,8
SEC71,6,9,8
SEC71,7,9,8
SEC71,8,9,8
SEC71,9,9,8
SEC71,10,9,8
SEC71,11,9,8
SEC71,12,8,8
SEC71,13,7,8
SEC71,14,6,8
SEC71,15,3,8
SEC71,16,3,8
SEC71,17,3,8
SEC71,18,2,8
SEC71,19,2,8
SEC71,20,2,8
SEC71,21,1,8
SEC71,22,0,8
SEC71,23,0,8
SEC71,24,0,8
SEC71,25,0,8
SEC71,26,0,8
SEC71,27,0,8
SEC71,28,0,8
SEC71,29,0,8
SEC71,30,0,8
SEC71,31,0,8
SEC71,32,0,8
SEC71,33,0,8
SEC71,34,0,8
SEC71,35,0,8
SEC71,36,0,8
SEC71,37,0,8
SEC71,38,0,8
SEC71,39,0,8
SEC71,40,0,8
SEC71,41,0,8
SEC71,42,0,8
SEC71,43,0,8
SEC71,44,0,8
SEC71,45,0,8
SEC71,46,0,8
SEC71,47,0,8
SEC71,48,0,8
SEC71,49,0,8
